"ensembl_gene_id","gene_symbol","log2_fold_change_no_zone","BH_FDR_no_zone","log2_fold_change_adjusted","BH_FDR_adjusted","no_zone_significant","attenuated","direction_reversed"
"ENSG00000005020","SKAP2",0.373860604492489,0.0254312415537862,-0.0988743841474206,0.782247333822796,TRUE,TRUE,TRUE
"ENSG00000005022","SLC25A5",0.376925139308507,0.019588547278875,0.102085353367843,0.732040993907206,TRUE,TRUE,FALSE
"ENSG00000005059","MCUB",-0.906751215591658,0.0000202885643212065,-0.336991890899302,0.30144745489341,TRUE,TRUE,FALSE
"ENSG00000005075","POLR2J",0.173209577819075,0.0261193940702504,0.0944117627145524,0.563630766980859,TRUE,TRUE,FALSE
"ENSG00000005100","DHX33",-0.182243167790494,0.0848254106329361,-0.221844069049165,0.29756508060874,FALSE,FALSE,FALSE
"ENSG00000005102","MEOX1",-0.588192553482548,0.0642705258895913,0.21480592754659,0.712082488370639,FALSE,TRUE,TRUE
"ENSG00000005156","LIG3",0.141950671894827,0.0831533989212979,0.00416253769078439,0.985874791036177,FALSE,TRUE,FALSE
"ENSG00000005175","RPAP3",-0.132070787462554,0.30969345214797,-0.1756199002399,0.519307416268581,FALSE,FALSE,FALSE
"ENSG00000005187","ACSM3",2.46316483300314,0.00000830855102872131,0.485979038830131,0.457653014620785,TRUE,TRUE,FALSE
"ENSG00000005194","CIAPIN1",-0.0323463139488528,0.766805452408699,-0.0539282852174745,0.791565848628783,FALSE,FALSE,FALSE
"ENSG00000005206","SPPL2B",0.65645854559721,0.000298006800538985,0.262830749599894,0.39420329313875,TRUE,TRUE,FALSE
"ENSG00000005238","FAM214B",0.549613257805185,0.00838220407430111,0.380780167383555,0.309770131371158,TRUE,TRUE,FALSE
"ENSG00000005249","PRKAR2B",0.617473662438874,0.0251180787874675,0.0880553850463685,0.867327436036971,TRUE,TRUE,FALSE
"ENSG00000005302","MSL3",-0.382886636463592,0.000743123261265453,-0.114383967764342,0.620668269536591,TRUE,TRUE,FALSE
"ENSG00000005339","CREBBP",-0.0534012064439764,0.605709895632906,0.00755759934677628,0.980583500642715,FALSE,TRUE,TRUE
"ENSG00000005483","KMT2E",-0.0337056552743773,0.774676768920881,-0.0144684319326415,0.964588336374514,FALSE,TRUE,FALSE
"ENSG00000005486","RHBDD2",-0.0685754636156374,0.446525759451479,0.15035596225756,0.362094988675488,FALSE,FALSE,TRUE
"ENSG00000005513","SOX8",0.813704709084406,0.0434097419109105,-0.201043568794931,0.772964721745502,TRUE,TRUE,TRUE
"ENSG00000005700","IBTK",0.718535202343962,0.0000396153589013898,0.112882296773736,0.71512178659795,TRUE,TRUE,FALSE
"ENSG00000005810","MYCBP2",-0.850837169938344,0.0000359898074366728,-0.105247513626403,0.767308331648139,TRUE,TRUE,FALSE
"ENSG00000005812","FBXL3",-0.0542477446682592,0.727024230264899,0.0921265854161527,0.790504670485754,FALSE,FALSE,TRUE
"ENSG00000005844","ITGAL",-0.301243934775144,0.250287697620365,-0.545319577863883,0.329718064146733,FALSE,FALSE,FALSE
"ENSG00000005882","PDK2",0.422285153611826,0.0197710793968807,0.365606784509494,0.317497433989281,TRUE,TRUE,FALSE
"ENSG00000005884","ITGA3",0.304435503494428,0.0222162858911605,0.0722224069764848,0.804253114764199,TRUE,TRUE,FALSE
"ENSG00000005889","ZFX",-0.0933374599419176,0.465943439849293,-0.149583738153783,0.555415391027169,FALSE,FALSE,FALSE
"ENSG00000005893","LAMP2",-0.331006173903013,0.0186203327418798,-0.0247049724613245,0.931299458303022,TRUE,TRUE,FALSE
"ENSG00000006007","GDE1",0.706771558206739,0.0000175815218259427,0.116439468988382,0.636161207690316,TRUE,TRUE,FALSE
"ENSG00000006015","REX1BD",-0.0166072048103834,0.872520301914794,-0.0120354306834927,0.964337224560668,FALSE,TRUE,FALSE
"ENSG00000006042","TMEM98",1.27741796062187,0.0000113338360361961,0.23085601318199,0.508792050079673,TRUE,TRUE,FALSE
"ENSG00000006062","MAP3K14",0.0613269446120372,0.746270686396958,-0.0822612874443137,0.834291102094444,FALSE,FALSE,TRUE
"ENSG00000006125","AP2B1",0.827297554456226,0.000121881880599369,0.0468772108892715,0.907566252121154,TRUE,TRUE,FALSE
"ENSG00000006194","ZNF263",-0.0216819338267949,0.872520301914794,-0.0950669594059339,0.706976281128661,FALSE,FALSE,FALSE
"ENSG00000006210","CX3CL1",-0.780990966457529,0.00345804217949114,-0.066165305799029,0.92419069554685,TRUE,TRUE,FALSE
