module_id,module_name,source_library,source_term,source_gene_symbol
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),WNT5A
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),XBP1
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ZC3H12A
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ZG16B
ANGIOGENESIS,angiogenesis,GO_Biological_Process_2026,Positive Regulation of Angiogenesis (GO:0045766),ZNF304
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),CEACAM1
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),CST3
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),FLT4
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),HRG
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),TGFB1
VASCULAR_REMODELING,venous/vascular remodeling,GO_Biological_Process_2026,Regulation of Blood Vessel Remodeling (GO:0060312),TMBIM1
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ABCA8
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ABCC9
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ACTA2
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ACVRL1
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADAM33
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADAMTS2
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADAMTS5
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADGRA2
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADGRF5
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADGRL4
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ADM
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ALPL
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ANGPT1
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ANGPT2
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ANGPTL2
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,ANPEP
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,AOC3
PERICYTE,pericyte,PanglaoDB_Augmented_2021,Pericytes,APLNR
